Name of Tools/ Softwares/DBs/Algorithms	Category	Subcategory	Deep learning/ML	Abstract	Manuscript Title	Link to Publication	Journal Name	Full APA Style Reference	Full Author List	Senior Author	Country of Affiliation of the Senior Author of the Manuscript	Link to the Tool	Programming Language used to prepare the tool, primary software tool	Year of publication	Institutional Affiliations
QC4Metabolomics	Quality Control			"The ability to answer complex biological questions in metabolomics relies on the acquisition of high-quality data. However, due to the complex nature of liquid chromatography–mass spectrometry acquisition, data quality checks are often not done comprehensively and only at the postprocessing step. This can be too late to mitigate analytical problems such as loss of m/z calibration, retention time drift and severe ion suppression. It is often not practically or economically feasible to reanalyze samples, and interpretation of the acquired compromised data, if at all possible, is limited, despite the considerable expenses incurred to obtain them. We therefore introduce QC4Metabolomics, a real-time quality control monitoring software for untargeted metabolomics data. QC4Metabolomics monitors files as they are acquired or retrospectively by tracking any user-defined compound(s) and extracting diagnostic information such as observed m/z, retention time, intensity and peak shape, and presents the results on a web dashboard. QC4Metabolomics also monitors the levels of common or user-defined contaminants. We report herein real-world examples where QC4Metabolomics easily reveals analytical problems retrospectively that could have been immediately addressed with real-time monitoring, so that the samples would have been analyzed without any quality control issues. The Shiny app is available as open-source code at https://github.com/stanstrup/QC4Metabolomics. Docker images and a docker-compose setup file are also provided for easy deployment, along with demo data. The documentation can be found at https://stanstrup.github.io/QC4Metabolomics.
Availability and ImplementationQC4Metabolomics is available as code at https://github.com/stanstrup/QC4Metabolomics. A Docker image, a docker-compose setup file and demo data are also provided for easy deployment."	QC4Metabolomics: Real-time and Retrospective Quality Control of Metabolomics Data	https://doi.org/10.1021/acs.analchem.4c07078	Analytical Chemistry	Stanstrup, J., & Dragsted, L. O. (2025). QC4Metabolomics: Real-Time and Retrospective Quality Control of Metabolomics Data. Analytical Chemistry, 97(35), 18855-18859.	J. Stanstrup, L. O. Dragsted	L O Dragsted	Denmark	https://github.com/stanstrup/QC4Metabolomics	R	2025	University of Copenhagen
MetaVision3D	Imaging MS			High-resolution spatial imaging is transforming our understanding of foundational biology. Spatial metabolomics is an emerging field that enables the dissection of the complex metabolic landscape and heterogeneity from a thin tissue section. Currently, spatial metabolism highlights the remarkable complexity in two-dimensional (2D) space and is poised to be extended into the three-dimensional (3D) world of biology. Here we introduce MetaVision3D, a pipeline driven by computer vision, a branch of artificial intelligence focusing on image workflow, for the transformation of serial 2D MALDI mass spectrometry imaging sections into a high-resolution 3D spatial metabolome. Our framework uses advanced algorithms for image registration, normalization and interpolation to enable the integration of serial 2D tissue sections, thereby generating a comprehensive 3D model of unique diverse metabolites across host tissues at submesoscale. As a proof of principle, MetaVision3D was utilized to generate the mouse brain 3D metabolome atlas of normal and diseased animals (available at https://metavision3d.rc.ufl.edu) as an interactive online database and web server to further advance brain metabolism and related research.	AI-driven framework to map the brain metabolome in three dimensions	https://www.nature.com/articles/s42255-025-01242-9	Nature Metabolism	Ma, X., Shedlock, C. J., Medina, T., Ribas, R. A., Clarke, H. A., Hawkinson, T. R., ... & Sun, R. C. (2025). AI-driven framework to map the brain metabolome in three dimensions. Nature metabolism, 1-12.	X. Ma, C. J. Shedlock, T. Medina, R. A. Ribas, H. A. Clarke, T. R. Hawkinson, ..., R. C. Sun	R C Sun	USA	https://metavision3d.rc.ufl.edu	Python, Webserver	2025	University of Florida
DNEA	Metabolic networks			"Background
Metabolomics is a high-throughput technology that measures small molecule metabolites in cells, tissues or biofluids. Analysis of metabolomics data is a multi-step process that involves data processing, quality control and normalization, followed by statistical and bioinformatics analysis. The latter step often involves pathway analysis to aid biological interpretation of the data. This approach is limited to endogenous metabolites that can be readily mapped to metabolic pathways. An alternative to pathway analysis that can be used for any classes of metabolites, including unknown compounds that are ubiquitous in untargeted metabolomics data, involves defining metabolite-metabolite interactions using experimental data. Our group has developed several network-based methods that use partial correlations of experimentally determined metabolite measurements. These were implemented in CorrelationCalculator and Filigree, two software tools for the analysis of metabolomics data we developed previously. The latter tool implements the Differential Network Enrichment Analysis (DNEA) algorithm. This analysis is useful for building differential networks from metabolomics data containing two experimental groups and identifying differentially enriched metabolic modules. While Filigree is a user-friendly tool, it has certain limitations when used for the analysis of large-scale metabolomics datasets.
Results

We developed the DNEA R package for the data-driven network analysis of metabolomics data. We present the DNEA workflow and functionality, algorithm enhancements implemented with respect to the package’s predecessor, Filigree, and discuss best practices for analyses. We tested the performance of the DNEA R package and illustrated its features using publicly available metabolomics data from the environmental determinants of diabetes in the young. To our knowledge, this package is the only publicly available tool designed for the construction of biological networks and subsequent enrichment testing for datasets containing exogenous, secondary, and unknown compounds. This greatly expands the scope of traditional enrichment analysis tools that can be used to analyze a relatively small set of well-annotated metabolites.
Conclusions

The DNEA R package is a more flexible and powerful implementation of our previously published software tool, Filigree. The modular structure of the package, along with the parallel processing framework built into the most computationally extensive steps of the algorithm, make it a powerful tool for the analysis of large and complex metabolomics datasets."	DNEA: an R package for fast and versatile data-driven network analysis of metabolomics data	https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-024-05994-1	BMC Bioinformatics	Patsalis, Christopher, Iyer, Gayatri, Brandenburg, Marci, Karnovsky, Alla, & Michailidis, George (2024). DNEA: an R package for fast and versatile data-driven network analysis of metabolomics data. BMC Bioinformatics, 25(1). https://doi.org/10.1186/s12859-024-05994-1	C. Patsalis, G. Iyer, M. Brandenburg, A. Karnovsky, G. Michailidis	G Michailidis	USA	https://github.com/Karnovsky-Lab/DNEA/	R, TeX	2024	University of Florida
BitBIRCH-Lean	Drug Discovery			We present BitBIRCH-Lean, a fast, memory-efficient implementation of the Bit-BIRCH algorithm, designed for high-throughput clustering of huge molecular libraries (up to billions of drug-like molecules) on typical workstations. BitBIRCH-Lean considerably improves on the original BitBIRCH implementation by incorporating dynamic types and bit-packed fingerprints inside the clustering tree. Most operations in BitBIRCH-Lean are efficiently performed on compressed data, and optional C++ extension accelerate the bottleneck calculations, providing up to 2X speedup. Benchmark tests against GPU-accelerated methods highlight BitBIRCH-Lean as an efficient alternative for processing vast amounts of molecules. We further demonstrate the versatility of this new package by showcasing a parallel, multi-round variant of the Bit- BIRCH algorithm that exploits the gains in efficiency to cluster hundreds of millions of molecules in minutes, with no loss in cluster quality. The code is freely available at: https://github.com/mqcomplab/bblean.	BitBIRCH-Lean: chemical space in the palm of your workstation	https://www.biorxiv.org/content/10.1101/2025.10.22.684015v1	bioRxiv	Pickering, I., Szigmond, K., Perez, K. L., Lzicar, M., & Quintana, R. A. M. (2025). BitBIRCH-Lean: chemical space in the palm of your workstation. bioRxiv, 2025-10.	I. Pickering, K. Szigmond, K. L. Perez, M. Lzicar, R. A. M. Quintana	R A M Quintana	USA	https://github.com/mqcomplab/bblean	Python, C++	2025	University of Florida
Nextflow4MS-DIAL	Pre-processing			Reproducibility in untargeted metabolomics data processing remains a significant challenge due to software limitations and the complex series of steps required. To address these issues, we developed Nextflow4MS-DIAL, a reproducible workflow for liquid chromatography–mass spectrometry (LC-MS) metabolomics data processing, validated with publicly available data from MetaboLights (MTBLS733). Nextflow4MS-DIAL automates LC-MS data processing to minimize human errors from manual data handling. The workflow supports software containerization, ensuring computational reproducibility and enabling collaborative research. Nextflow4MS-DIAL is compatible with any Unix-like system and supports multiple job schedulers, offering flexibility and ease of use. The Nextflow4MS-DIAL workflow is available under the permissive MIT license: https://github.com/Nextflow4Metabolomics/nextflow4ms-dial.	Nextflow4MS-DIAL: A Reproducible Nextflow-Based Workflow for Liquid Chromatography–Mass Spectrometry Metabolomics Data Processing	https://pubs.acs.org/doi/full/10.1021/jasms.4c00364	Journal of the American Society for Mass Spectrometry	Du, Xinsong, Dobrowolski, Amanda, Brochhausen, Mathias, Garrett, Timothy J., Hogan, William R., & Lemas, Dominick J. (2025). Nextflow4MS-DIAL: A Reproducible Nextflow-Based Workflow for Liquid Chromatography–Mass Spectrometry Metabolomics Data Processing. Journal of the American Society for Mass Spectrometry, 36(2), 433-438. https://doi.org/10.1021/jasms.4c00364	X. Du, A. Dobrowolski, M. Brochhausen, T. J. Garrett, W. R. Hogan, D. J. Lemas	D J Lemas	USA	https://github.com/Nextflow4Metabolomics/nextflow4ms-dial	HTML, JavaScript, Shell, Nextflow, Python	2025	University of Florida
StreptomeDB 4.0	Organism specific			Streptomycetes remain an important bacterial source of natural products (NPs) with significant therapeutic promise, particularly in the fight against antimicrobial resistance. Herein, we present StreptomeDB 4.0, a substantial update of the database that includes expanded content and several new features. Currently, StreptomeDB 4.0 contains over 8500 NPs originating from _3900 streptomycetes, manually annotated from _7600 PubMed-indexed peer-reviewed articles. The database was enhanced by two in-house developments: (i) automated literature-mined NP–protein relationships (hyperlinked to the CPRiL web server) and (ii) pharmacophore-based NP–protein interactions (predicted with the ePharmaLib dataset). Moreover, genome mining was supplemented through hyperlinks to the widely used antiSMASH database. To facilitate NP structural dereplication, interactive visualization tools were implemented, namely the JSpecView applet and plotly.js charting library for predicted nuclear magnetic resonance and mass spectrometry spectral data, respectively. Furthermore, both the backend database and the frontend web interface were redesigned, and several software packages, including PostgreSQL and Django, were updated to the latest versions. Overall, this comprehensive database serves as a vital resource for researchers seeking to delve into the metabolic intricacies of streptomycetes and discover novel therapeutics, notably antimicrobial agents. StreptomeDB is publicly accessible at https://www.pharmbioinf.uni-freiburg.de/streptomedb.	StreptomeDB 4.0: a comprehensive database of streptomycetes natural products enriched with protein interactions and interactive spectral visualization	https://academic.oup.com/nar/article/53/D1/D724/7875978	Nucleic Acids Research	Feng, Y., Qaseem, A., Moumbock, A.F.A., Pan, S., Kirchner, P.A., Simoben, C.V., ... Günther, S. (2024). StreptomeDB 4.0: a comprehensive database of streptomycetes natural products enriched with protein interactions and interactive spectral visualization. Nucleic Acids Research. https://doi.org/10.1093/nar/gkae1030	Y. Feng, A. Qaseem, A. F. A. Moumbock, S. Pan, P. A. Kirchner, C. V. Simoben, Y. I. Malange, S. B. Babiaka, M. Gao, S. Günther	S Günther	Germany	https://streptomedb.vm.uni-freiburg.de/streptomedb/	Webserver	2024	University of Freiburg
MultiOmicsIntegrator	Multiomics			"Motivation
Analysis of gene and isoform expression levels is becoming critical for the detailed understanding of biochemical mechanisms. In addition, integrating RNA-seq data with other omics data types, such as proteomics and metabolomics, provides a strong approach for consolidating our understanding of biological processes across various organizational tiers, thus promoting the identification of potential therapeutic targets.
Results

We present our pipeline, called MultiOmicsIntegrator (MOI), an inclusive pipeline for comprehensive omics analyses. MOI represents a unified approach that performs in-depth individual analyses of diverse omics. Specifically, exhaustive analysis of RNA-seq data at the level of genes, isoforms of genes, as well as miRNA is offered, coupled with functional annotation and structure prediction of these transcripts. Additionally, proteomics and metabolomics data are supported providing a holistic view of biological systems. Finally, MOI has tools to integrate simultaneously multiple and diverse omics datasets, with both data- and function-driven approaches, fostering a deeper understanding of intricate biological interactions.
Availability and implementation

MOI and ReadTheDocs."	MultiOmicsIntegrator: a nextflow pipeline for integrated omics analyses	https://academic.oup.com/bioinformaticsadvances/article/4/1/vbae175/7900314	Bioinformatics Advances	Pasat, B. A., Pilalis, E., Mnich, K., Samali, A., Chatziioannou, A., & Gorman, A. M. (2024). MultiOmicsIntegrator: a nextflow pipeline for integrated omics analyses. Bioinformatics Advances, 4(1), vbae175.	B. A. Pasat, E. Pilalis, K. Mnich, A. Samali, A. Chatziioannou, A. M. Gorman	A M Gorman	Ireland	https://github.com/ASAGlab/MOI--An-integrated-solution-for-omics-analyses	Nextflow, Groovy, R, Python	2024	University of Galway
MicroMap	Metabolic networks/Visualization			The human microbiome critically influences metabolism and thereby our health. Constraint-based reconstruction and analysis (COBRA) is a proven framework for generating mechanism-derived hypotheses along the nutrition-host-microbiome-disease axis. However, no large-scale microbiome metabolism visualisation has been available. Therefore, we created the MicroMap, a manually curated network visualisation, which captures the metabolism of over a quarter million microbial genome-scale metabolic reconstructions. The MicroMap contains 5064 unique reactions and 3499 unique metabolites, including for 98 drugs. Users can intuitively explore microbiome metabolism, inspect metabolic capabilities, and visualise computational modelling results. Further, the MicroMap may serve as an educational tool to help diversify the computational modelling community. We generated 257,429 visualisations, covering all our current microbiome reconstructions, to visually compare metabolic capabilities between microbes. The MicroMap integrates with the Virtual Metabolic Human (VMH) database, the COBRA Toolbox, and is freely accessible at the MicroMap dataverse, along with all the generated reconstruction visualisations.	MicroMap: a network visualisation resource for human microbiome metabolism	https://www.nature.com/articles/s41522-025-00853-0	NPJ Biofilms and Microbiomes	Thinnes, C. C., Waschkowitz, R., Courtney, E., Culligan, E., Fahy, K., Ferrazza, R. A. M., Ferris, C., Lagali, A., Lane, R., Maye, C., Murphy, O., Noone, D., Ryan, S., Bet, M., Corr, M. C., Cummins, H., Hackett, D., Healy, E., Kulczycka, N., Lang, N., Madden, L., McHugh, L., Pyne, I., Varley, C., Harkin, N., Meade, R., O’Donnell, G., Nap, B., Martinelli, F., Heinken, A., & Thiele, I. (2025). MicroMap: a network visualisation resource for human microbiome metabolism. NPJ Biofilms and Microbiomes, 11, 222.	C. C. Thinnes, R. Waschkowitz, E. Courtney, E. Culligan, K. Fahy, R. A. M. Ferrazza, C. Ferris, A. Lagali, R. Lane, C. Maye, O. Murphy, D. Noone, S. Ryan, M. Bet, M. C. Corr, H. Cummins, D. Hackett, E. Healy, N. Kulczycka, N. Lang, L. Madden, L. McHugh, I. Pyne, C. Varley, N. Harkin, R. Meade, G. O’Donnell, B. Nap, F. Martinelli, A. Heinken, I. Thiele	I Thiele	Ireland	https://dataverse.harvard.edu/dataverse/micromap	Webserver	2025	University of Galway
MolNotator	Annotation	Molecular Networking		In the context of untargeted metabolomics, molecular networking is a popular and efficient tool which organizes and simplifies mass spectrometry fragmentation data (LC-MS/MS), by clustering ions based on a cosine similarity score. However, the nature of the ion species is rarely taken into account, causing redundancy as a single compound may be present in different forms throughout the network. Taking advantage of the presence of such redundant ions, we developed a new method named MolNotator. Using the different ion species produced by a molecule during ionization (adducts, dimers, trimers, in-source fragments), a predicted molecule node (or neutral node) is created by triangulation, and ultimately computing the associated molecule’s calculated mass. These neutral nodes provide researchers with several advantages. Firstly, each molecule is then represented in its ionization context, connected to all produced ions and indirectly to some coeluted compounds, thereby also highlighting unexpected widely present adduct species. Secondly, the predicted neutrals serve as anchors to merge the complementary positive and negative ionization modes into a single network. Lastly, the dereplication is improved by the use of all available ions connected to the neutral nodes, and the computed molecular masses can be used for exact mass dereplication. MolNotator is available as a Python library and was validated using the lichen database spectra acquired on an Orbitrap, computing neutral molecules for >90% of the 156 molecules in the dataset. By focusing on actual molecules instead of ions, MolNotator greatly facilitates the selection of molecules of interest.	From mass spectral features to molecules in molecular networks: a novel workflow for untargeted metabolomics	https://www.biorxiv.org/content/10.1101/2021.12.21.473622v1	bioRxiv	Olivier-Jimenez, D., Bouchouireb, Z., Ollivier, S., Mocquard, J., Allard, P. M., Bernadat, G., ... & Wolfender, J. L. (2021). From mass spectral features to molecules in molecular networks: a novel workflow for untargeted metabolomics. bioRxiv, 2021-12.	D. Olivier-Jimenez, Z. Bouchouireb, S. Ollivier, J. Mocquard, P. M. Allard, G. Bernadat, ..., J. L. Wolfender	J L Wolfender	Switzerland	https://github.com/ZzakB/MolNotator	Python	2021	University of Geneva
Inventa	Annotation	Others		Collections of natural extracts hold potential for the discovery of novel natural products with original modes of action. The prioritization of extracts from collections remains challenging due to the lack of a workflow that combines multiple-source information to facilitate the data interpretation. Results from different analytical techniques and literature reports need to be organized, processed, and interpreted to enable optimal decision-making for extracts prioritization. Here, we introduce Inventa, a computational tool that highlights the structural novelty potential within extracts, considering untargeted mass spectrometry data, spectral annotation, and literature reports. Based on this information, Inventa calculates multiple scores that inform their structural potential. Thus, Inventa has the potential to accelerate new natural products discovery. Inventa was applied to a set of plants from the Celastraceae family as a proof of concept. The Pristimera indica (Willd.) A.C.Sm roots extract was highlighted as a promising source of potentially novel compounds. Its phytochemical investigation resulted in the isolation and de novo characterization of thirteen new dihydro-_-agarofuran sesquiterpenes, five of them presenting a new 9-oxodihydro-_-agarofuran base scaffold.	Inventa: A computational tool to discover structural novelty in natural extracts libraries	https://www.frontiersin.org/articles/10.3389/fmolb.2022.1028334	Frontiers in Molecular Biosciences	Quiros-Guerrero, L. M., Nothias, L. F., Gaudry, A., Marcourt, L., Allard, P. M., Rutz, A., ... & Wolfender, J. L. (2022). Inventa: A computational tool to discover structural novelty in natural extracts libraries. Frontiers in Molecular Biosciences, 9, 1028334.	L. M. Quiros-Guerrero, L. F. Nothias, A. Gaudry, L. Marcourt, P. M. Allard, A. Rutz, ..., J. L. Wolfender	J L Wolfender	Switzerland	https://luigiquiros.github.io/inventa/	Python	2022	University of Geneva
Test-Time Tuned Language Models	Annotation	De Novo Generation	Yes	Tandem Mass Spectrometry enables the identification of unknown compounds in crucial fields such as metabolomics, natural product discovery and environmental analysis. However, current methods rely on database matching from previously observed molecules, or on multi-step pipelines that require intermediate fragment or fingerprint prediction. This makes finding the correct molecule highly challenging, particularly for compounds absent from reference databases. We introduce a framework that, by leveraging test-time tuning, enhances the learning of a pre-trained transformer model to address this gap, enabling end-to-end de novo molecular structure generation directly from the tandem mass spectra and molecular formulae, bypassing manual annotations and intermediate steps. We surpass the de-facto state-of-the-art approach DiffMS on two popular benchmarks NPLIB1 and MassSpecGym by 100% and 20%, respectively. Test-time tuning on experimental spectra allows the model to dynamically adapt to novel spectra, and the relative performance gain over conventional fine-tuning is of 62% on MassSpecGym. When predictions deviate from the ground truth, the generated molecular candidates remain structurally accurate, providing valuable guidance for human interpretation and more reliable identification.	Test-Time Tuned Language Models Enable End-to-end De Novo Molecular Structure Generation from MS/MS Spectra	https://arxiv.org/abs/2510.23746	arXiv	Mismetti, L., Alberts, M., Krause, A., & Graziani, M. (2025). Test-Time Tuned Language Models Enable End-to-end De Novo Molecular Structure Generation from MS/MS Spectra. arXiv preprint arXiv:2510.23746.	L. Mismetti, M. Alberts, A. Krause, M. Graziani	M Graziani	Switzerland	NA	NA	2025	University of Geneva
PyINETA	NMR			Robust annotation of compounds is a critical element in metabolomics. The 13C-detection NMR experiment incredible natural abundance double-quantum transfer experiment (INADEQUATE) stands out as a powerful tool for structural elucidation, but this valuable experiment is not often included in metabolomics studies. This is partly due to the lack of a community platform that provides structural information based on INADEQUATE. Also, it is often the case that a single study uses various NMR experiments synergistically to improve the quality of information or balance total NMR experiment time, but there is no public platform that can integrate the outputs of INADEQUATE with other NMR experiments. Here, we introduce PyINETA, a Python-based INADEQUATE network analysis. PyINETA is an open-source platform that provides structural information on molecules using INADEQUATE, conducts database searches using an INADEQUATE library, and integrates information on INADEQUATE and a complementary NMR experiment 13C J-resolved experiment (13C-JRES). 13C-JRES was chosen because of its ability to efficiently provide relative quantification in a study of the 13C-enriched samples. Those steps are carried out automatically, and PyINETA keeps track of all the pipeline parameters and outputs, ensuring the transparency of annotation in metabolomics. Our evaluation of PyINETA using a model mouse study showed that PyINETA successfully integrated INADEQUATE and 13C-JRES. The results showed that 13C-labeled amino acids that were fed to mice were transferred to different tissues and were transformed to other metabolites. The distribution of those compounds was tissue-specific, showing enrichment of specific metabolites in the liver, spleen, pancreas, muscle, or lung. PyINETA is freely available on NMRbox.	PyINETA: Open-Source Platform for INADEQUATE-JRES Integration in NMR Metabolomics	https://pubs.acs.org/doi/full/10.1021/acs.analchem.4c03966	Analytical Chemistry	Taujale, R., Uchimiya, M., Clendinen, C. S., Borges, R. M., Turck, C. W., & Edison, A. S. (2024). PyINETA: Open-source platform for INADEQUATE-JRES integration in NMR metabolomics. Analytical Chemistry, 96(48), 19029-19037.	R. Taujale, M. Uchimiya, C. S. Clendinen, R. M. Borges, C. W. Turck, A. S. Edison	A S Edison	USA	https://github.com/edisonomics/PyINETA	Python	2024	University of Georgia
MOCCal	Ion Mobility MS			Ion mobility mass spectrometry (IM-MS) is a rapid, gas-phase separation technology that can resolve ions on the basis of their size-to-charge and mass-to-charge ratios. Since each class of biomolecule has a unique relationship between size and mass, IM-MS spectra of complex biological samples are organized into trendlines that each contain one type of biomolecule (i.e., lipid, peptide, metabolite). These trendlines can aid in the identification of unknown ions by providing a general classification, while more specific identifications require the conversion of IM arrival times to collision cross section (CCS) values to minimize instrument-to-instrument variability. However, the process of converting IM arrival times to CCS values varies between the different IM devices. Arrival times from traveling wave ion mobility (TWIM) devices must undergo a calibration process to obtain CCS values, which can impart biases if the calibrants are not structurally similar to the analytes. For multiomic mixtures, several different types of calibrants must be used to obtain the most accurate CCS values from TWIM platforms. Here we describe the development of a multiomic CCS calibration tool, MOCCal, to automate the assignment of unknown features to the power law calibration that provides the most accurate CCS value. MOCCal calibrates every experimental arrival time with up to three class-specific calibration curves and uses the difference (in Å2) between the calibrated TWCCSN2 value and DTCCSN2 vs m/z regression lines to determine the best calibration curve. Using real and simulated multiomic samples, we demonstrate that MOCCal provides accurately calibrated TWCCSN2 values for small molecules, lipids, and peptides.	"MOCCal: A Multiomic CCS Calibrator for Traveling Wave Ion Mobility Mass Spectrometry
"	https://pubs.acs.org/doi/10.1021/acs.analchem.3c04290	Analytical Chemistry	Hynds, H. M., & Hines, K. M. (2024). MOCCal: A multiomic CCS calibrator for traveling wave ion mobility mass spectrometry. Analytical Chemistry, 96(3), 1185-1194.	H. M. Hynds, K. M. Hines	K M Hines	USA	https://github.com/HinesLab/MOCCal	Python	2024	University of Georgia
PALS	Pathway, Enrichment and Ontology Tools			Related metabolites can be grouped into sets in many ways, e.g., by their participation in series of chemical reactions (forming metabolic pathways), or based on fragmentation spectral similarities or shared chemical substructures. Understanding how such metabolite sets change in relation to experimental factors can be incredibly useful in the interpretation and understanding of complex metabolomics data sets. However, many of the available tools that are used to perform this analysis are not entirely suitable for the analysis of untargeted metabolomics measurements. Here, we present PALS (Pathway Activity Level Scoring), a Python library, command line tool, and Web application that performs the ranking of significantly changing metabolite sets over different experimental conditions. The main algorithm in PALS is based on the pathway level analysis of gene expression (PLAGE) factorisation method and is denoted as mPLAGE (PLAGE for metabolomics). As an example of an application, PALS is used to analyse metabolites grouped as metabolic pathways and by shared tandem mass spectrometry fragmentation patterns. A comparison of mPLAGE with two other commonly used methods (overrepresentation analysis (ORA) and gene set enrichment analysis (GSEA)) is also given and reveals that mPLAGE is more robust to missing features and noisy data than the alternatives. As further examples, PALS is also applied to human African trypanosomiasis, Rhamnaceae, and American Gut Project data. In addition, normalisation can have a significant impact on pathway analysis results, and PALS offers a framework to further investigate this. PALS is freely available from our project Web site.	Ranking Metabolite Sets by Their Activity Levels	https://www.mdpi.com/2218-1989/11/2/103	Metabolites	McLuskey, K., Wandy, J., Vincent, I., van der Hooft, J.J.J., Rogers, S., Burgess, K., Daly, R. (2021). Ranking Metabolite Sets by Their Activity Levels. Metabolites. https://doi.org/10.3390/metabo11020103	K. McLuskey, J. Wandy, I. Vincent, J. J. J. van der Hooft, S. Rogers, K. Burgess, R. Daly	R Daly	United Kingdom	"https://github.com/glasgowcompbio/PALS; https://pals.glasgowcompbio.org/app/"	Python, Webserver	2021	University of Glasgow
NPLinker	Biosynthetic Gene Clusters			Specialised metabolites from microbial sources are well-known for their wide range of biomedical applications, particularly as antibiotics. When mining paired genomic and metabolomic data sets for novel specialised metabolites, establishing links between Biosynthetic Gene Clusters (BGCs) and metabolites represents a promising way of finding such novel chemistry. However, due to the lack of detailed biosynthetic knowledge for the majority of predicted BGCs, and the large number of possible combinations, this is not a simple task. This problem is becoming ever more pressing with the increased availability of paired omics data sets. Current tools are not effective at identifying valid links automatically, and manual verification is a considerable bottleneck in natural product research. We demonstrate that using multiple link-scoring functions together makes it easier to prioritise true links relative to others. Based on standardising a commonly used score, we introduce a new, more effective score, and introduce a novel score using an Input-Output Kernel Regression approach. Finally, we present NPLinker, a software framework to link genomic and metabolomic data. Results are verified using publicly available data sets that include validated links.	Ranking microbial metabolomic and genomic links in the NPLinker framework using complementary scoring functions	https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1008920	PLoS computational biology	Hjoerleifsson Eldjarn, G., Ramsay, A., Van Der Hooft, J. J., Duncan, K. R., Soldatou, S., Rousu, J., ... & Rogers, S. (2021). Ranking microbial metabolomic and genomic links in the NPLinker framework using complementary scoring functions. PLoS computational biology, 17(5), e1008920.	G. Hjoerleifsson Eldjarn, A. Ramsay, J. J. Van Der Hooft, K. R. Duncan, S. Soldatou, J. Rousu, ..., S. Rogers	S Rogers	United Kingdom	https://github.com/NPLinker/nplinker	Python	2021	University of Glasgow
VIMMS 2.0	Specialized			"The choice of fragmentation strategies used during mass-spectrometry-based data acquisition
directly affects the quality and coverage of subsequent structural identification – a crucial step in
untargeted metabolomics data analysis. However, developing novel fragmentation strategies is
challenging due to the high experimental cost of running an actual mass spectrometry instrument
and the lack of a programmable simulation environment to support their development. ViMMS
2.0 is a software framework that can be used to develop new fragmentation strategies in
metabolomics completely in-silico as well as on mass spectrometry instruments. The framework
allows users to generate chemical objects (produced synthetically or extracted from existing
mzML files) and simulate a tandem mass spectrometry process, where different fragmentation
strategies can be rapidly implemented, tested and evaluated. In this paper, we present ViMMS
2.0, highlighting the software design choices of the framework and illustrate with an example
how a new fragmentation strategy could be implemented in ViMMS 2.0"	ViMMS 2.0: A framework to develop, test and optimise fragmentation strategies in LC-MS metabolomics	https://joss.theoj.org/papers/10.21105/joss.03990	Journal of Open Source Software	Wandy, J., Davies, V., McBride, R., Weidt, S., Rogers, S., & Daly, R. (2022). ViMMS 2.0: A framework to develop, test and optimise fragmentation strategies in LC-MS metabolomics. Journal of Open Source Software, 7(71).	J. Wandy, V. Davies, R. McBride, S. Weidt, S. Rogers, R. Daly	R Daly	United Kingdom	https://github.com/glasgowcompbio/vimms/	Python, R	2022	University of Glasgow
TopNEXt	Pre-processing			"Motivation
Liquid Chromatography Tandem Mass Spectrometry experiments aim to produce high-quality fragmentation spectra, which can be used to annotate metabolites. However, current Data-Dependent Acquisition approaches may fail to collect spectra of sufficient quality and quantity for experimental outcomes, and extend poorly across multiple samples by failing to share information across samples or by requiring manual expert input.
Results

We present TopNEXt, a real-time scan prioritization framework that improves data acquisition in multi-sample Liquid Chromatography Tandem Mass Spectrometry metabolomics experiments. TopNEXt extends traditional Data-Dependent Acquisition exclusion methods across multiple samples by using a Region of Interest and intensity-based scoring system. Through both simulated and lab experiments, we show that methods incorporating these novel concepts acquire fragmentation spectra for an additional 10% of our set of target peaks and with an additional 20% of acquisition intensity. By increasing the quality and quantity of fragmentation spectra, TopNEXt can help improve metabolite identification with a potential impact across a variety of experimental contexts.
Availability and implementation

TopNEXt is implemented as part of the ViMMS framework and the latest version can be found at https://github.com/glasgowcompbio/vimms. A stable version used to produce our results can be found at 10.5281/zenodo.7468914."	TopNEXt: automatic DDA exclusion framework for multi-sample mass spectrometry experiments	https://academic.oup.com/bioinformatics/article/39/7/btad406/7207825	Bioinformatics	McBride, R., Wandy, J., Weidt, S., Rogers, S., Davies, V., Daly, R., & Bryson, K. (2023). TopNEXt: automatic DDA exclusion framework for multi-sample mass spectrometry experiments. Bioinformatics, 39(7), btad406.	R. McBride, J. Wandy, S. Weidt, S. Rogers, V. Davies, R. Daly, K. Bryson	K Bryson	United Kingdom	https://github.com/glasgowcompbio/vimms	Python	2023	University of Glasgow
